k	q	p	from	to	time[p]	cost[p]
0	0	3	1234	1252	10	2456
0	0	3	1252	1270	10	2456
0	0	3	1270	1281	10	2456
0	0	3	1281	1299	10	2456
0	0	3	1299	1317	10	2456
0	0	3	1317	1335	10	2456
0	0	4	970	999	1	10
0	0	4	999	453	1	10
0	0	4	453	456	2	1661
0	0	4	456	462	3	2446
0	0	4	462	1036	3	2446
0	0	4	1036	1054	3	2446
0	0	4	1054	1072	3	2446
0	0	4	1072	1090	3	2446
0	0	4	1090	1108	3	2446
0	0	4	1108	1126	3	2446
0	0	4	1126	1144	3	2446
0	0	4	1144	1162	3	2446
0	0	4	1162	1180	3	2446
0	0	4	1180	1198	3	2446
0	0	4	1198	1216	3	2446
0	0	4	1216	1234	3	2446
0	0	4	1234	1252	3	2446
0	0	4	1252	1270	3	2446
0	0	4	1270	1281	3	2446
0	0	4	1281	1299	3	2446
0	0	4	1299	1317	3	2446
0	0	4	1317	1335	3	2446
0	0	5	1348	1366	1	0
0	0	5	1366	1384	2	0
0	0	5	1384	1399	3	10
0	0	5	1399	129	4	10
0	0	5	129	167	13	399
0	0	5	167	171	14	399
0	0	5	171	182	17	920
0	0	5	182	1670	18	920
0	0	5	1670	1695	19	930
0	0	5	1695	1713	19	930
0	0	6	1348	1366	1	0
0	0	6	1366	1384	2	0
0	0	6	1384	1399	3	10
0	0	6	1399	1417	4	13
0	0	6	1417	1435	5	16
0	0	6	1435	1453	6	19
0	0	6	1453	1471	7	22
0	0	6	1471	1489	8	25
0	0	6	1489	1507	9	28
0	0	6	1507	1525	10	31
0	0	6	1525	157	11	31
0	0	6	157	182	17	344
0	0	6	182	1670	18	344
0	0	6	1670	1695	19	354
0	0	6	1695	1713	19	354
1	0	0	971	987	1	10
1	0	0	987	39	2	10
1	0	0	39	73	11	399
1	0	0	73	1183	12	399
1	0	0	1183	1201	12	399
1	0	0	1201	1219	12	399
1	0	0	1219	1237	12	399
1	0	0	1237	1255	13	402
1	0	0	1255	1273	14	405
1	0	0	1273	1291	14	405
1	0	0	1291	1309	14	405
1	0	0	1309	1327	14	405
1	0	0	1327	1354	14	405
1	0	0	1354	1372	14	405
1	0	0	1372	1390	14	405
1	0	0	1390	1408	14	405
1	0	0	1408	1426	14	405
1	0	0	1426	1444	14	405
1	0	0	1444	1462	14	405
1	0	0	1462	1480	14	405
1	0	0	1480	1498	14	405
1	0	0	1498	1516	14	405
1	0	0	1516	1534	14	405
1	0	0	1534	1552	14	405
1	0	0	1552	1570	14	405
1	0	0	1570	1588	14	405
1	0	0	1588	1606	14	405
1	0	0	1606	1624	14	405
1	0	0	1624	1642	14	405
1	0	0	1642	1660	14	405
1	0	0	1660	1678	14	405
1	0	0	1678	1696	14	405
1	0	0	1696	1714	14	405
1	0	0	1714	1732	14	405
1	0	0	1732	1750	14	405
1	0	0	1750	1768	14	405
1	0	0	1768	1786	14	405
1	0	1	971	987	1	10
1	0	1	987	39	2	10
1	0	1	39	96	17	325
1	0	1	96	100	18	325
1	0	1	100	125	24	688
1	0	1	125	1417	25	688
1	0	1	1417	1444	26	698
1	0	1	1444	1462	26	698
1	0	1	1462	1480	26	698
1	0	1	1480	1498	26	698
1	0	1	1498	1516	26	698
1	0	1	1516	1534	26	698
1	0	1	1534	1552	26	698
1	0	1	1552	1570	26	698
1	0	1	1570	1588	26	698
1	0	1	1588	1606	26	698
1	0	1	1606	1624	26	698
1	0	1	1624	1642	26	698
1	0	1	1642	1660	26	698
1	0	1	1660	1678	26	698
1	0	1	1678	1696	26	698
1	0	1	1696	1714	26	698
1	0	1	1714	1732	26	698
1	0	1	1732	1750	26	698
1	0	1	1750	1768	26	698
1	0	1	1768	1786	26	698
1	0	2	971	987	1	10
1	0	2	987	39	2	10
1	0	2	39	96	17	325
1	0	2	96	1290	18	325
1	0	2	1290	1322	19	328
1	0	2	1322	1340	20	330
1	0	2	1340	528	20	330
1	0	2	528	533	21	1981
1	0	2	533	1359	21	1981
1	0	2	1359	1372	22	1991
1	0	2	1372	1390	22	1991
1	0	2	1390	1408	22	1991
1	0	2	1408	1426	22	1991
1	0	2	1426	1444	22	1991
1	0	2	1444	1462	22	1991
1	0	2	1462	1480	22	1991
1	0	2	1480	1498	22	1991
1	0	2	1498	1516	22	1991
1	0	2	1516	1534	22	1991
1	0	2	1534	1552	22	1991
1	0	2	1552	1570	22	1991
1	0	2	1570	1588	22	1991
1	0	2	1588	1606	22	1991
1	0	2	1606	1624	22	1991
1	0	2	1624	1642	22	1991
1	0	2	1642	1660	22	1991
1	0	2	1660	1678	22	1991
1	0	2	1678	1696	22	1991
1	0	2	1696	1714	22	1991
1	0	2	1714	1732	22	1991
1	0	2	1732	1750	22	1991
1	0	2	1750	1768	22	1991
1	0	2	1768	1786	22	1991
1	0	3	971	989	1	0
1	0	3	989	1007	2	0
1	0	3	1007	1023	3	10
1	0	3	1023	1041	4	13
1	0	3	1041	1059	5	16
1	0	3	1059	1077	6	19
1	0	3	1077	1095	7	22
1	0	3	1095	1113	8	25
1	0	3	1113	1131	9	28
1	0	3	1131	1149	10	31
1	0	3	1149	1167	11	34
1	0	3	1167	2809	12	34
1	0	3	2809	2820	15	555
1	0	3	2820	2824	16	555
1	0	3	2824	2858	25	794
1	0	3	2858	2862	26	794
1	0	3	2862	2866	27	794
1	0	3	2866	2904	36	1033
1	0	3	2904	2908	37	1033
1	0	3	2908	2931	43	1346
1	0	3	2931	1759	44	1346
1	0	3	1759	1786	45	1356
1	0	4	971	989	1	0
1	0	4	989	1007	2	0
1	0	4	1007	1023	3	10
1	0	4	1023	1041	4	13
1	0	4	1041	1059	5	16
1	0	4	1059	1077	6	19
1	0	4	1077	1095	7	22
1	0	4	1095	1113	8	25
1	0	4	1113	1131	9	28
1	0	4	1131	1149	10	31
1	0	4	1149	1167	11	34
1	0	4	1167	2809	12	34
1	0	4	2809	2820	15	555
1	0	4	2820	1256	16	555
1	0	4	1256	1288	17	558
1	0	4	1288	1306	18	560
1	0	4	1306	1324	19	562
1	0	4	1324	526	19	562
1	0	4	526	528	20	1347
1	0	4	528	533	21	2998
1	0	4	533	1359	21	2998
1	0	4	1359	1372	22	3008
1	0	4	1372	1390	22	3008
1	0	4	1390	1408	22	3008
1	0	4	1408	1426	22	3008
1	0	4	1426	1444	22	3008
1	0	4	1444	1462	22	3008
1	0	4	1462	1480	22	3008
1	0	4	1480	1498	22	3008
1	0	4	1498	1516	22	3008
1	0	4	1516	1534	22	3008
1	0	4	1534	1552	22	3008
1	0	4	1552	1570	22	3008
1	0	4	1570	1588	22	3008
1	0	4	1588	1606	22	3008
1	0	4	1606	1624	22	3008
1	0	4	1624	1642	22	3008
1	0	4	1642	1660	22	3008
1	0	4	1660	1678	22	3008
1	0	4	1678	1696	22	3008
1	0	4	1696	1714	22	3008
1	0	4	1714	1732	22	3008
1	0	4	1732	1750	22	3008
1	0	4	1750	1768	22	3008
1	0	4	1768	1786	22	3008
1	0	5	971	989	1	0
1	0	5	989	1007	2	0
1	0	5	1007	1023	3	10
1	0	5	1023	1041	4	13
1	0	5	1041	1059	5	16
1	0	5	1059	1077	6	19
1	0	5	1077	1095	7	22
1	0	5	1095	1113	8	25
1	0	5	1113	1131	9	28
1	0	5	1131	1149	10	31
1	0	5	1149	1167	11	34
1	0	5	1167	2809	12	34
1	0	5	2809	2820	15	555
1	0	5	2820	1256	16	555
1	0	5	1256	1288	17	558
1	0	5	1288	1306	18	560
1	0	5	1306	1324	19	562
1	0	5	1324	1342	20	564
1	0	5	1342	1360	21	566
1	0	5	1360	534	21	566
1	0	5	534	537	22	2099
1	0	5	537	1377	22	2099
1	0	5	1377	1390	23	2109
1	0	5	1390	1408	23	2109
1	0	5	1408	1426	23	2109
1	0	5	1426	1444	23	2109
1	0	5	1444	1462	23	2109
1	0	5	1462	1480	23	2109
1	0	5	1480	1498	23	2109
1	0	5	1498	1516	23	2109
1	0	5	1516	1534	23	2109
1	0	5	1534	1552	23	2109
1	0	5	1552	1570	23	2109
1	0	5	1570	1588	23	2109
1	0	5	1588	1606	23	2109
1	0	5	1606	1624	23	2109
1	0	5	1624	1642	23	2109
1	0	5	1642	1660	23	2109
1	0	5	1660	1678	23	2109
1	0	5	1678	1696	23	2109
1	0	5	1696	1714	23	2109
1	0	5	1714	1732	23	2109
1	0	5	1732	1750	23	2109
1	0	5	1750	1768	23	2109
1	0	5	1768	1786	23	2109
1	0	6	971	989	1	0
1	0	6	989	1007	2	0
1	0	6	1007	1023	3	10
1	0	6	1023	1041	4	13
1	0	6	1041	1059	5	16
1	0	6	1059	1077	6	19
1	0	6	1077	1095	7	22
1	0	6	1095	1113	8	25
1	0	6	1113	1131	9	28
1	0	6	1131	1149	10	31
1	0	6	1149	1167	11	34
1	0	6	1167	2809	12	34
1	0	6	2809	2820	15	555
1	0	6	2820	1256	16	555
1	0	6	1256	1288	17	558
1	0	6	1288	3248	17	558
1	0	6	3248	3253	18	2264
1	0	6	3253	3259	20	3845
1	0	6	3259	1341	20	3845
1	0	6	1341	1354	21	3855
1	0	6	1354	1372	21	3855
1	0	6	1372	1390	21	3855
1	0	6	1390	1408	21	3855
1	0	6	1408	1426	21	3855
1	0	6	1426	1444	21	3855
1	0	6	1444	1462	21	3855
1	0	6	1462	1480	21	3855
1	0	6	1480	1498	21	3855
1	0	6	1498	1516	21	3855
1	0	6	1516	1534	21	3855
1	0	6	1534	1552	21	3855
1	0	6	1552	1570	21	3855
1	0	6	1570	1588	21	3855
1	0	6	1588	1606	21	3855
1	0	6	1606	1624	21	3855
1	0	6	1624	1642	21	3855
1	0	6	1642	1660	21	3855
1	0	6	1660	1678	21	3855
1	0	6	1678	1696	21	3855
1	0	6	1696	1714	21	3855
1	0	6	1714	1732	21	3855
1	0	6	1732	1750	21	3855
1	0	6	1750	1768	21	3855
1	0	6	1768	1786	21	3855
1	0	7	971	989	1	0
1	0	7	989	1007	2	0
1	0	7	1007	1037	3	10
1	0	7	1037	463	3	10
1	0	7	463	466	4	1716
1	0	7	466	468	5	2501
1	0	7	468	473	6	4152
1	0	7	473	1089	6	4152
1	0	7	1089	1107	7	4154
1	0	7	1107	1125	8	4156
1	0	7	1125	1143	8	4156
1	0	7	1143	1161	8	4156
1	0	7	1161	1179	8	4156
1	0	7	1179	1197	8	4156
1	0	7	1197	1215	8	4156
1	0	7	1215	1233	8	4156
1	0	7	1233	1251	8	4156
1	0	7	1251	1269	8	4156
1	0	7	1269	1287	8	4156
1	0	7	1287	1305	8	4156
1	0	7	1305	1323	8	4156
1	0	7	1323	1341	8	4156
1	0	7	1341	1354	9	4166
1	0	7	1354	1372	9	4166
1	0	7	1372	1390	9	4166
1	0	7	1390	1408	9	4166
1	0	7	1408	1426	9	4166
1	0	7	1426	1444	9	4166
1	0	7	1444	1462	9	4166
1	0	7	1462	1480	9	4166
1	0	7	1480	1498	9	4166
1	0	7	1498	1516	9	4166
1	0	7	1516	1534	9	4166
1	0	7	1534	1552	9	4166
1	0	7	1552	1570	9	4166
1	0	7	1570	1588	9	4166
1	0	7	1588	1606	9	4166
1	0	7	1606	1624	9	4166
1	0	7	1624	1642	9	4166
1	0	7	1642	1660	9	4166
1	0	7	1660	1678	9	4166
1	0	7	1678	1696	9	4166
1	0	7	1696	1714	9	4166
1	0	7	1714	1732	9	4166
1	0	7	1732	1750	9	4166
1	0	7	1750	1768	9	4166
1	0	7	1768	1786	9	4166
1	0	8	971	989	1	0
1	0	8	989	1007	2	0
1	0	8	1007	1037	3	10
1	0	8	1037	1055	4	12
1	0	8	1055	1073	5	14
1	0	8	1073	471	5	14
1	0	8	471	474	6	1720
1	0	8	474	477	7	3253
1	0	8	477	1107	7	3253
1	0	8	1107	1125	8	3255
1	0	8	1125	1143	8	3255
1	0	8	1143	1161	8	3255
1	0	8	1161	1179	8	3255
1	0	8	1179	1197	8	3255
1	0	8	1197	1215	8	3255
1	0	8	1215	1233	8	3255
1	0	8	1233	1251	8	3255
1	0	8	1251	1269	8	3255
1	0	8	1269	1287	8	3255
1	0	8	1287	1305	8	3255
1	0	8	1305	1323	8	3255
1	0	8	1323	1341	8	3255
1	0	8	1341	1354	9	3265
1	0	8	1354	1372	9	3265
1	0	8	1372	1390	9	3265
1	0	8	1390	1408	9	3265
1	0	8	1408	1426	9	3265
1	0	8	1426	1444	9	3265
1	0	8	1444	1462	9	3265
1	0	8	1462	1480	9	3265
1	0	8	1480	1498	9	3265
1	0	8	1498	1516	9	3265
1	0	8	1516	1534	9	3265
1	0	8	1534	1552	9	3265
1	0	8	1552	1570	9	3265
1	0	8	1570	1588	9	3265
1	0	8	1588	1606	9	3265
1	0	8	1606	1624	9	3265
1	0	8	1624	1642	9	3265
1	0	8	1642	1660	9	3265
1	0	8	1660	1678	9	3265
1	0	8	1678	1696	9	3265
1	0	8	1696	1714	9	3265
1	0	8	1714	1732	9	3265
1	0	8	1732	1750	9	3265
1	0	8	1750	1768	9	3265
1	0	8	1768	1786	9	3265
1	0	9	971	989	1	0
1	0	9	989	1007	2	0
1	0	9	1007	1037	3	10
1	0	9	1037	1055	4	12
1	0	9	1055	1073	5	14
1	0	9	1073	1091	6	16
1	0	9	1091	3205	6	16
1	0	9	3205	3211	8	1597
1	0	9	3211	1125	8	1597
1	0	9	1125	1143	8	1597
1	0	9	1143	1161	8	1597
1	0	9	1161	1179	8	1597
1	0	9	1179	1197	8	1597
1	0	9	1197	1215	8	1597
1	0	9	1215	1233	8	1597
1	0	9	1233	1251	8	1597
1	0	9	1251	1269	8	1597
1	0	9	1269	1287	8	1597
1	0	9	1287	1305	8	1597
1	0	9	1305	1323	8	1597
1	0	9	1323	1341	8	1597
1	0	9	1341	1354	9	1607
1	0	9	1354	1372	9	1607
1	0	9	1372	1390	9	1607
1	0	9	1390	1408	9	1607
1	0	9	1408	1426	9	1607
1	0	9	1426	1444	9	1607
1	0	9	1444	1462	9	1607
1	0	9	1462	1480	9	1607
1	0	9	1480	1498	9	1607
1	0	9	1498	1516	9	1607
1	0	9	1516	1534	9	1607
1	0	9	1534	1552	9	1607
1	0	9	1552	1570	9	1607
1	0	9	1570	1588	9	1607
1	0	9	1588	1606	9	1607
1	0	9	1606	1624	9	1607
1	0	9	1624	1642	9	1607
1	0	9	1642	1660	9	1607
1	0	9	1660	1678	9	1607
1	0	9	1678	1696	9	1607
1	0	9	1696	1714	9	1607
1	0	9	1714	1732	9	1607
1	0	9	1732	1750	9	1607
1	0	9	1750	1768	9	1607
1	0	9	1768	1786	9	1607
1	0	10	1349	1367	1	0
1	0	10	1367	1385	2	0
1	0	10	1385	1401	3	10
1	0	10	1401	1419	4	13
1	0	10	1419	1437	5	16
1	0	10	1437	1455	6	19
1	0	10	1455	1473	7	22
1	0	10	1473	1491	8	25
1	0	10	1491	1509	9	28
1	0	10	1509	1527	10	31
1	0	10	1527	1545	11	34
1	0	10	1545	1563	12	37
1	0	10	1563	1581	13	40
1	0	10	1581	171	14	40
1	0	10	171	182	17	561
1	0	10	182	1670	18	561
1	0	10	1670	1702	19	564
1	0	10	1702	610	19	564
1	0	10	610	612	20	1349
1	0	10	612	617	21	3000
1	0	10	617	1737	21	3000
1	0	10	1737	1750	22	3010
1	0	10	1750	1768	22	3010
1	0	10	1768	1786	22	3010
1	0	10	1786	1804	22	3010
1	0	10	1804	1822	22	3010
1	0	10	1822	1840	22	3010
1	0	10	1840	1858	22	3010
1	0	10	1858	1876	22	3010
1	0	10	1876	1894	22	3010
1	0	10	1894	1912	22	3010
1	0	10	1912	1930	22	3010
1	0	10	1930	1948	22	3010
1	0	10	1948	1966	22	3010
1	0	10	1966	1984	22	3010
1	0	10	1984	2002	22	3010
1	0	10	2002	2020	22	3010
1	0	10	2020	2038	22	3010
1	0	10	2038	2056	22	3010
1	0	10	2056	2074	22	3010
1	0	10	2074	2092	22	3010
1	0	10	2092	2110	22	3010
1	0	10	2110	2128	22	3010
1	0	10	2128	2146	22	3010
1	0	10	2146	2164	22	3010
1	0	11	1349	1367	1	0
1	0	11	1367	1385	2	0
1	0	11	1385	1401	3	10
1	0	11	1401	1419	4	13
1	0	11	1419	1437	5	16
1	0	11	1437	1455	6	19
1	0	11	1455	1473	7	22
1	0	11	1473	1491	8	25
1	0	11	1491	1509	9	28
1	0	11	1509	1527	10	31
1	0	11	1527	1545	11	34
1	0	11	1545	1563	12	37
1	0	11	1563	1581	13	40
1	0	11	1581	171	14	40
1	0	11	171	182	17	561
1	0	11	182	1670	18	561
1	0	11	1670	1702	19	564
1	0	11	1702	1720	20	566
1	0	11	1720	1738	21	568
1	0	11	1738	618	21	568
1	0	11	618	621	22	2101
1	0	11	621	1755	22	2101
1	0	11	1755	1768	23	2111
1	0	11	1768	1786	23	2111
1	0	11	1786	1804	23	2111
1	0	11	1804	1822	23	2111
1	0	11	1822	1840	23	2111
1	0	11	1840	1858	23	2111
1	0	11	1858	1876	23	2111
1	0	11	1876	1894	23	2111
1	0	11	1894	1912	23	2111
1	0	11	1912	1930	23	2111
1	0	11	1930	1948	23	2111
1	0	11	1948	1966	23	2111
1	0	11	1966	1984	23	2111
1	0	11	1984	2002	23	2111
1	0	11	2002	2020	23	2111
1	0	11	2020	2038	23	2111
1	0	11	2038	2056	23	2111
1	0	11	2056	2074	23	2111
1	0	11	2074	2092	23	2111
1	0	11	2092	2110	23	2111
1	0	11	2110	2128	23	2111
1	0	11	2128	2146	23	2111
1	0	11	2146	2164	23	2111
2	0	0	882	900	1	0
2	0	0	900	918	2	0
2	0	0	918	930	3	10
2	0	0	930	948	4	13
2	0	0	948	966	5	16
2	0	0	966	984	6	19
2	0	0	984	1002	7	22
2	0	0	1002	1020	8	25
2	0	0	1020	1038	9	28
2	0	0	1038	1056	10	31
2	0	0	1056	1074	11	34
2	0	0	1074	1092	12	37
2	0	0	1092	60	13	37
2	0	0	60	98	22	276
2	0	0	98	1292	23	276
2	0	0	1292	1324	24	279
2	0	0	1324	526	24	279
2	0	0	526	528	25	1064
2	0	0	528	533	26	2715
2	0	0	533	1359	26	2715
2	0	0	1359	1373	27	2725
2	0	0	1373	1391	27	2725
2	0	0	1391	1409	27	2725
2	0	1	882	900	1	0
2	0	1	900	918	2	0
2	0	1	918	930	3	10
2	0	1	930	948	4	13
2	0	1	948	966	5	16
2	0	1	966	984	6	19
2	0	1	984	1002	7	22
2	0	1	1002	1020	8	25
2	0	1	1020	1038	9	28
2	0	1	1038	1056	10	31
2	0	1	1056	1074	11	34
2	0	1	1074	1092	12	37
2	0	1	1092	60	13	37
2	0	1	60	98	22	276
2	0	1	98	1292	23	276
2	0	1	1292	1324	24	279
2	0	1	1324	1342	25	281
2	0	1	1342	1360	26	283
2	0	1	1360	534	26	283
2	0	1	534	537	27	1816
2	0	1	537	1377	27	1816
2	0	1	1377	1391	28	1826
2	0	1	1391	1409	28	1826
2	0	2	882	900	1	0
2	0	2	900	918	2	0
2	0	2	918	944	3	10
2	0	2	944	962	4	12
2	0	2	962	444	4	12
2	0	2	444	449	5	1663
2	0	2	449	981	5	1663
2	0	2	981	999	5	1663
2	0	2	999	1017	5	1663
2	0	2	1017	1035	5	1663
2	0	2	1035	1053	6	1665
2	0	2	1053	1067	6	1665
2	0	2	1067	1085	6	1665
2	0	2	1085	1103	6	1665
2	0	2	1103	1121	6	1665
2	0	2	1121	1139	6	1665
2	0	2	1139	1157	6	1665
2	0	2	1157	1175	6	1665
2	0	2	1175	1193	6	1665
2	0	2	1193	1211	6	1665
2	0	2	1211	1229	6	1665
2	0	2	1229	1247	6	1665
2	0	2	1247	1265	6	1665
2	0	2	1265	1283	6	1665
2	0	2	1283	1301	6	1665
2	0	2	1301	1319	6	1665
2	0	2	1319	1337	6	1665
2	0	2	1337	1355	6	1665
2	0	2	1355	1373	6	1665
2	0	2	1373	1391	6	1665
2	0	2	1391	1409	6	1665
2	0	3	1260	1272	1	10
2	0	3	1272	100	2	10
2	0	3	100	125	8	373
2	0	3	125	1417	9	373
2	0	3	1417	1445	10	383
2	0	3	1445	1463	10	383
2	0	3	1463	1481	10	383
2	0	3	1481	1499	10	383
2	0	3	1499	1517	10	383
2	0	3	1517	1535	10	383
2	0	3	1535	1553	10	383
2	0	3	1553	1571	10	383
2	0	3	1571	1589	10	383
2	0	3	1589	1607	10	383
2	0	3	1607	1625	10	383
2	0	3	1625	1643	10	383
2	0	3	1643	1661	10	383
2	0	3	1661	1679	10	383
2	0	3	1679	1697	10	383
2	0	3	1697	1715	10	383
2	0	3	1715	1733	10	383
2	0	3	1733	1751	10	383
2	0	3	1751	1769	10	383
2	0	3	1769	1787	10	383
2	0	4	1260	1278	1	0
2	0	4	1278	1296	2	0
2	0	4	1296	1308	3	10
2	0	4	1308	1326	4	13
2	0	4	1326	1344	5	16
2	0	4	1344	1362	6	19
2	0	4	1362	1380	7	22
2	0	4	1380	1398	8	25
2	0	4	1398	1416	9	28
2	0	4	1416	2862	10	28
2	0	4	2862	2866	11	28
2	0	4	2866	2904	20	267
2	0	4	2904	2908	21	267
2	0	4	2908	2931	27	580
2	0	4	2931	1759	28	580
2	0	4	1759	1787	29	590
3	0	0	883	901	1	0
3	0	0	901	919	2	0
3	0	0	919	937	3	0
3	0	0	937	962	4	10
3	0	0	962	444	4	10
3	0	0	444	449	5	1661
3	0	0	449	454	6	3194
3	0	0	454	459	7	4900
3	0	0	459	1019	7	4900
3	0	0	1019	1037	7	4900
3	0	0	1037	1055	8	4902
3	0	0	1055	1068	9	4912
3	0	0	1068	1086	9	4912
3	0	0	1086	1104	9	4912
3	0	0	1104	1122	9	4912
3	0	0	1122	1140	9	4912
3	0	0	1140	1158	9	4912
3	0	0	1158	1176	9	4912
3	0	0	1176	1194	9	4912
3	0	0	1194	1212	9	4912
3	0	0	1212	1230	9	4912
3	0	0	1230	1248	9	4912
3	0	0	1248	1266	9	4912
3	0	0	1266	1284	9	4912
3	0	0	1284	1302	9	4912
3	0	0	1302	1320	9	4912
3	0	1	883	901	1	0
3	0	1	901	919	2	0
3	0	1	919	937	3	0
3	0	1	937	962	4	10
3	0	1	962	980	4	10
3	0	1	980	998	4	10
3	0	1	998	1016	4	10
3	0	1	1016	456	4	10
3	0	1	456	462	5	795
3	0	1	462	467	6	2501
3	0	1	467	1055	6	2501
3	0	1	1055	1068	7	2511
3	0	1	1068	1086	7	2511
3	0	1	1086	1104	7	2511
3	0	1	1104	1122	7	2511
3	0	1	1122	1140	7	2511
3	0	1	1140	1158	7	2511
3	0	1	1158	1176	7	2511
3	0	1	1176	1194	7	2511
3	0	1	1194	1212	7	2511
3	0	1	1212	1230	7	2511
3	0	1	1230	1248	7	2511
3	0	1	1248	1266	7	2511
3	0	1	1266	1284	7	2511
3	0	1	1284	1302	7	2511
3	0	1	1302	1320	7	2511
3	0	2	1261	1272	1	10
3	0	2	1272	100	2	10
3	0	2	100	125	8	373
3	0	2	125	129	9	373
3	0	2	129	167	18	762
3	0	2	167	1599	19	762
3	0	2	1599	1626	20	772
3	0	2	1626	1644	20	772
3	0	2	1644	1662	20	772
3	0	2	1662	1680	20	772
3	0	2	1680	1698	20	772
3	0	3	1261	1272	1	10
3	0	3	1272	100	2	10
3	0	3	100	125	8	373
3	0	3	125	1417	9	373
3	0	3	1417	1449	10	376
3	0	3	1449	1467	11	378
3	0	3	1467	557	11	378
3	0	3	557	562	12	1911
3	0	3	562	567	13	3617
3	0	3	567	1505	13	3617
3	0	3	1505	1518	14	3627
3	0	3	1518	1536	14	3627
3	0	3	1536	1554	14	3627
3	0	3	1554	1572	14	3627
3	0	3	1572	1590	14	3627
3	0	3	1590	1608	14	3627
3	0	3	1608	1626	14	3627
3	0	3	1626	1644	14	3627
3	0	3	1644	1662	14	3627
3	0	3	1662	1680	14	3627
3	0	3	1680	1698	14	3627
3	0	4	1261	1272	1	10
3	0	4	1272	100	2	10
3	0	4	100	125	8	373
3	0	4	125	1417	9	373
3	0	4	1417	1449	10	376
3	0	4	1449	1467	11	378
3	0	4	1467	1485	12	380
3	0	4	1485	561	12	380
3	0	4	561	564	13	2031
3	0	4	564	570	14	2816
3	0	4	570	575	15	4522
3	0	4	575	1541	15	4522
3	0	4	1541	1554	16	4532
3	0	4	1554	1572	16	4532
3	0	4	1572	1590	16	4532
3	0	4	1590	1608	16	4532
3	0	4	1608	1626	16	4532
3	0	4	1626	1644	16	4532
3	0	4	1644	1662	16	4532
3	0	4	1662	1680	16	4532
3	0	4	1680	1698	16	4532
3	0	5	1261	1279	1	0
3	0	5	1279	1297	2	0
3	0	5	1297	1315	3	0
3	0	5	1315	1333	4	0
3	0	5	1333	1351	5	0
3	0	5	1351	1369	6	0
3	0	5	1369	1380	7	10
3	0	5	1380	1398	8	13
3	0	5	1398	1416	9	16
3	0	5	1416	2862	10	16
3	0	5	2862	2866	11	16
3	0	5	2866	2904	20	255
3	0	5	2904	1634	21	255
3	0	5	1634	1666	22	258
3	0	5	1666	3332	22	258
3	0	5	3332	3337	23	1964
3	0	5	3337	1685	23	1964
3	0	5	1685	1698	24	1974
4	0	0	884	902	1	0
4	0	0	902	914	2	10
4	0	0	914	22	3	10
4	0	0	22	35	6	531
4	0	0	35	1005	7	531
4	0	0	1005	1037	8	534
4	0	0	1037	463	8	534
4	0	0	463	466	9	2240
4	0	0	466	468	10	3025
4	0	0	468	1070	10	3025
4	0	0	1070	1087	11	3035
4	0	0	1087	1105	11	3035
4	0	0	1105	1123	11	3035
4	0	0	1123	1141	11	3035
4	0	0	1141	1159	11	3035
4	0	0	1159	1177	11	3035
4	0	0	1177	1195	11	3035
4	0	0	1195	1213	11	3035
4	0	0	1213	1231	11	3035
4	0	0	1231	1249	11	3035
4	0	0	1249	1267	11	3035
4	0	0	1267	1285	11	3035
4	0	0	1285	1303	11	3035
