k	q	r	p	cost	time	utility	e	utility_e
0	0	13	3	2456	10	-216.389	1.14079	-217.53
0	0	13	4	2446	3	-113.185	0.727699	-113.912
0	0	13	5	930	19	-305.624	-1.70561	-303.918
0	0	13	6	354	19	-289.358	-1.17247	-288.185
0	0	14	0	930	17	-276.218	1.26231	-277.48
0	0	14	1	357	20	-304.146	-0.0429465	-304.103
0	0	14	2	1549	7	-146.666	0.776237	-147.442
0	0	14	3	2456	10	-216.389	2.41308	-218.803
0	0	14	4	2446	3	-113.185	0.211677	-113.396
0	0	14	5	930	19	-305.624	0.271185	-305.895
0	0	14	6	354	19	-289.358	-2.02909	-287.329
0	0	15	0	930	17	-276.218	-1.8795	-274.338
0	0	15	1	357	20	-304.146	-0.0989834	-304.047
0	0	15	2	1549	7	-146.666	-0.39445	-146.272
0	0	15	3	2456	10	-216.389	0.124529	-216.514
0	0	15	4	2446	3	-113.185	-0.632569	-112.552
0	0	15	5	930	19	-305.624	1.53153	-307.156
0	0	15	6	354	19	-289.358	-0.324013	-289.034
0	0	16	0	930	17	-276.218	-0.308643	-275.909
0	0	16	1	357	20	-304.146	0.603417	-304.749
0	0	16	2	1549	7	-146.666	-1.13759	-145.529
0	0	16	3	2456	10	-216.389	-0.119534	-216.27
0	0	16	4	2446	3	-113.185	1.37573	-114.56
0	0	16	5	930	19	-305.624	-0.841765	-304.782
0	0	16	6	354	19	-289.358	-0.552167	-288.806
0	0	17	0	930	17	-276.218	-0.515166	-275.702
0	0	17	1	357	20	-304.146	-0.276597	-303.869
0	0	17	2	1549	7	-146.666	-0.117696	-146.548
0	0	17	3	2456	10	-216.389	0.427309	-216.817
0	0	17	4	2446	3	-113.185	-0.495768	-112.689
0	0	17	5	930	19	-305.624	0.397829	-306.022
0	0	17	6	354	19	-289.358	0.354661	-289.712
0	0	18	0	930	17	-276.218	1.72456	-277.942
0	0	18	1	357	20	-304.146	0.020458	-304.166
0	0	18	2	1549	7	-146.666	0.481598	-147.148
0	0	18	3	2456	10	-216.389	-0.591095	-215.798
0	0	18	4	2446	3	-113.185	-0.410238	-112.774
0	0	18	5	930	19	-305.624	0.145051	-305.769
0	0	18	6	354	19	-289.358	-0.00289947	-289.355
0	0	19	0	930	17	-276.218	-0.712195	-275.505
0	0	19	1	357	20	-304.146	0.1716	-304.317
0	0	19	2	1549	7	-146.666	-0.60119	-146.065
0	0	19	3	2456	10	-216.389	-1.53446	-214.855
0	0	19	4	2446	3	-113.185	-0.121549	-113.063
0	0	19	5	930	19	-305.624	0.504508	-306.129
0	0	19	6	354	19	-289.358	-1.81599	-287.542
1	0	0	7	405	14	-269.956	-0.0106758	-269.946
1	0	0	8	698	26	-499.741	-1.46849	-498.272
1	0	0	9	1991	22	-464.421	0.0989965	-464.52
1	0	0	10	1356	45	-869.326	0.842973	-870.169
1	0	0	11	3008	22	-494.605	1.1852	-495.791
1	0	0	12	2109	23	-486.347	-0.518671	-485.828
1	0	0	13	3855	21	-501.32	0.0153316	-501.336
1	0	0	14	4166	9	-289.463	1.04595	-290.509
1	0	0	15	3265	9	-262.721	1.19048	-263.912
1	0	0	16	1607	9	-213.512	0.200467	-213.712
1	0	0	17	3010	22	-494.665	2.31012	-496.975
1	0	0	18	2111	23	-486.406	0.108119	-486.515
1	0	1	7	405	14	-269.956	-0.134769	-269.822
1	0	1	8	698	26	-499.741	-1.04749	-498.693
1	0	1	9	1991	22	-464.421	-0.826741	-463.594
1	0	1	10	1356	45	-869.326	1.32899	-870.655
1	0	1	11	3008	22	-494.605	-0.496879	-494.109
1	0	1	12	2109	23	-486.347	1.58999	-487.937
1	0	1	13	3855	21	-501.32	0.884276	-502.205
1	0	1	14	4166	9	-289.463	1.19341	-290.656
1	0	1	15	3265	9	-262.721	1.38702	-264.108
1	0	1	16	1607	9	-213.512	0.458689	-213.97
1	0	1	17	3010	22	-494.665	0.559796	-495.225
1	0	1	18	2111	23	-486.406	-1.25657	-485.15
1	0	2	7	405	14	-269.956	-0.936517	-269.02
1	0	2	8	698	26	-499.741	1.81331	-501.554
1	0	2	9	1991	22	-464.421	0.0517743	-464.473
1	0	2	10	1356	45	-869.326	-2.21403	-867.112
1	0	2	11	3008	22	-494.605	1.6815	-496.287
1	0	2	12	2109	23	-486.347	-0.176323	-486.171
1	0	2	13	3855	21	-501.32	-0.597875	-500.723
1	0	2	14	4166	9	-289.463	-1.53595	-287.927
1	0	2	15	3265	9	-262.721	-1.60559	-261.116
1	0	2	16	1607	9	-213.512	-0.985765	-212.526
1	0	2	17	3010	22	-494.665	-0.45261	-494.212
1	0	2	18	2111	23	-486.406	-2.48675	-483.92
1	0	3	7	405	14	-269.956	-0.286268	-269.67
1	0	3	8	698	26	-499.741	-0.325027	-499.416
1	0	3	9	1991	22	-464.421	0.406725	-464.828
1	0	3	10	1356	45	-869.326	-1.21012	-868.116
1	0	3	11	3008	22	-494.605	-0.3964	-494.209
1	0	3	12	2109	23	-486.347	-1.29818	-485.049
1	0	3	13	3855	21	-501.32	0.65199	-501.972
1	0	3	14	4166	9	-289.463	-0.435704	-289.027
1	0	3	15	3265	9	-262.721	1.08336	-263.805
1	0	3	16	1607	9	-213.512	0.285097	-213.797
1	0	3	17	3010	22	-494.665	1.39706	-496.062
1	0	3	18	2111	23	-486.406	-0.469346	-485.937
1	0	4	7	405	14	-269.956	0.133889	-270.09
1	0	4	8	698	26	-499.741	-1.19632	-498.544
1	0	4	9	1991	22	-464.421	0.55426	-464.975
1	0	4	10	1356	45	-869.326	0.318336	-869.644
1	0	4	11	3008	22	-494.605	-1.19951	-493.406
1	0	4	12	2109	23	-486.347	-0.438746	-485.908
1	0	4	13	3855	21	-501.32	0.013567	-501.334
1	0	4	14	4166	9	-289.463	0.380932	-289.844
1	0	4	15	3265	9	-262.721	1.26865	-263.99
1	0	4	16	1607	9	-213.512	-2.29858	-211.213
1	0	4	17	3010	22	-494.665	-2.23544	-492.429
1	0	4	18	2111	23	-486.406	-1.06921	-485.337
1	0	5	7	405	14	-269.956	0.664762	-270.621
1	0	5	8	698	26	-499.741	-0.431933	-499.309
1	0	5	9	1991	22	-464.421	0.804383	-465.225
1	0	5	10	1356	45	-869.326	-0.588944	-868.737
1	0	5	11	3008	22	-494.605	1.57712	-496.183
1	0	5	12	2109	23	-486.347	-0.824102	-485.523
1	0	5	13	3855	21	-501.32	-0.633751	-500.687
1	0	5	14	4166	9	-289.463	0.322814	-289.786
1	0	5	15	3265	9	-262.721	0.587677	-263.309
1	0	5	16	1607	9	-213.512	1.81473	-215.326
1	0	5	17	3010	22	-494.665	-0.683488	-493.981
1	0	5	18	2111	23	-486.406	-0.276496	-486.13
1	0	6	7	405	14	-269.956	0.455088	-270.411
1	0	6	8	698	26	-499.741	-0.200658	-499.54
1	0	6	9	1991	22	-464.421	-1.16993	-463.251
1	0	6	10	1356	45	-869.326	-1.44859	-867.877
1	0	6	11	3008	22	-494.605	0.942702	-495.548
1	0	6	12	2109	23	-486.347	0.555714	-486.903
1	0	6	13	3855	21	-501.32	0.505984	-501.826
1	0	6	14	4166	9	-289.463	0.78342	-290.246
1	0	6	15	3265	9	-262.721	0.162711	-262.884
1	0	6	16	1607	9	-213.512	-0.352825	-213.159
1	0	6	17	3010	22	-494.665	-0.945593	-493.719
1	0	6	18	2111	23	-486.406	-0.726768	-485.68
1	0	7	7	405	14	-269.956	0.531992	-270.488
1	0	7	8	698	26	-499.741	0.52946	-500.27
1	0	7	9	1991	22	-464.421	-0.045207	-464.376
1	0	7	10	1356	45	-869.326	0.76727	-870.093
1	0	7	11	3008	22	-494.605	0.0409468	-494.646
1	0	7	12	2109	23	-486.347	1.06523	-487.412
1	0	7	13	3855	21	-501.32	0.406885	-501.727
1	0	7	14	4166	9	-289.463	0.585812	-290.049
1	0	7	15	3265	9	-262.721	0.898443	-263.62
1	0	7	16	1607	9	-213.512	-1.05621	-212.456
1	0	7	17	3010	22	-494.665	0.983939	-495.649
1	0	7	18	2111	23	-486.406	-2.05787	-484.349
1	0	8	7	405	14	-269.956	0.250342	-270.207
1	0	8	8	698	26	-499.741	-2.21524	-497.525
1	0	8	9	1991	22	-464.421	-0.165218	-464.256
1	0	8	10	1356	45	-869.326	1.06575	-870.392
1	0	8	11	3008	22	-494.605	-0.0116755	-494.594
1	0	8	12	2109	23	-486.347	-1.536	-484.811
1	0	8	13	3855	21	-501.32	-0.686791	-500.634
1	0	8	14	4166	9	-289.463	-0.344609	-289.118
1	0	8	15	3265	9	-262.721	0.300266	-263.021
1	0	8	16	1607	9	-213.512	-0.440394	-213.071
1	0	8	17	3010	22	-494.665	-0.23658	-494.428
1	0	8	18	2111	23	-486.406	-1.56719	-484.839
1	0	9	7	405	14	-269.956	-2.08927	-267.867
1	0	9	8	698	26	-499.741	0.101731	-499.842
1	0	9	9	1991	22	-464.421	-0.0912973	-464.33
1	0	9	10	1356	45	-869.326	-1.13981	-868.186
1	0	9	11	3008	22	-494.605	0.41031	-495.016
1	0	9	12	2109	23	-486.347	1.02934	-487.376
1	0	9	13	3855	21	-501.32	0.943532	-502.264
1	0	9	14	4166	9	-289.463	-0.183067	-289.28
1	0	9	15	3265	9	-262.721	-2.3876	-260.334
1	0	9	16	1607	9	-213.512	0.188341	-213.7
1	0	9	17	3010	22	-494.665	1.28049	-495.945
1	0	9	18	2111	23	-486.406	-0.552408	-485.854
1	0	10	7	405	14	-269.956	0.475873	-270.432
1	0	10	8	698	26	-499.741	-0.12857	-499.612
1	0	10	9	1991	22	-464.421	0.18668	-464.608
1	0	10	10	1356	45	-869.326	0.584056	-869.91
1	0	10	11	3008	22	-494.605	-0.523336	-494.082
1	0	10	12	2109	23	-486.347	-0.310172	-486.037
1	0	10	13	3855	21	-501.32	0.144803	-501.465
1	0	10	14	4166	9	-289.463	-0.843707	-288.619
1	0	10	15	3265	9	-262.721	1.79774	-264.519
1	0	10	16	1607	9	-213.512	-0.523789	-212.988
1	0	10	17	3010	22	-494.665	-0.0356225	-494.629
1	0	10	18	2111	23	-486.406	-0.287979	-486.119
1	0	11	7	405	14	-269.956	0.591112	-270.548
1	0	11	8	698	26	-499.741	-0.904722	-498.836
1	0	11	9	1991	22	-464.421	0.419423	-464.84
1	0	11	10	1356	45	-869.326	0.0126659	-869.339
1	0	11	11	3008	22	-494.605	-1.1497	-493.456
1	0	11	12	2109	23	-486.347	0.425284	-486.772
1	0	11	13	3855	21	-501.32	1.08535	-502.406
1	0	11	14	4166	9	-289.463	1.50858	-290.971
1	0	11	15	3265	9	-262.721	0.0190176	-262.74
1	0	11	16	1607	9	-213.512	0.0549082	-213.567
1	0	11	17	3010	22	-494.665	-1.48198	-493.183
1	0	11	18	2111	23	-486.406	-1.51043	-484.896
1	0	12	7	405	14	-269.956	1.10649	-271.063
1	0	12	8	698	26	-499.741	0.235898	-499.977
1	0	12	9	1991	22	-464.421	-0.296275	-464.125
1	0	12	10	1356	45	-869.326	-0.469135	-868.857
1	0	12	11	3008	22	-494.605	0.214167	-494.82
1	0	12	12	2109	23	-486.347	-0.756045	-485.591
1	0	12	13	3855	21	-501.32	0.763975	-502.084
1	0	12	14	4166	9	-289.463	1.13218	-290.595
1	0	12	15	3265	9	-262.721	-0.0202469	-262.701
1	0	12	16	1607	9	-213.512	-0.0944968	-213.417
1	0	12	17	3010	22	-494.665	0.325911	-494.991
1	0	12	18	2111	23	-486.406	-0.474539	-485.932
1	0	13	7	405	14	-269.956	0.145307	-270.102
1	0	13	8	698	26	-499.741	-0.444674	-499.296
1	0	13	9	1991	22	-464.421	1.69173	-466.113
1	0	13	10	1356	45	-869.326	1.45722	-870.783
1	0	13	11	3008	22	-494.605	0.0811905	-494.687
1	0	13	12	2109	23	-486.347	-0.633951	-485.713
1	0	13	13	3855	21	-501.32	-0.297534	-501.023
1	0	13	14	4166	9	-289.463	0.228139	-289.691
1	0	13	15	3265	9	-262.721	1.14299	-263.864
1	0	13	16	1607	9	-213.512	0.709225	-214.221
1	0	13	17	3010	22	-494.665	1.22001	-495.885
1	0	13	18	2111	23	-486.406	-0.350052	-486.056
1	0	14	7	405	14	-269.956	-1.08088	-268.876
1	0	14	8	698	26	-499.741	-0.662801	-499.078
1	0	14	9	1991	22	-464.421	0.644093	-465.065
1	0	14	10	1356	45	-869.326	0.511723	-869.838
1	0	14	11	3008	22	-494.605	-0.450071	-494.155
1	0	14	12	2109	23	-486.347	0.0230225	-486.37
1	0	14	13	3855	21	-501.32	-1.55479	-499.766
1	0	14	14	4166	9	-289.463	-1.41161	-288.051
1	0	14	15	3265	9	-262.721	0.529965	-263.251
1	0	14	16	1607	9	-213.512	-2.09076	-211.421
1	0	14	17	3010	22	-494.665	0.955605	-495.62
1	0	14	18	2111	23	-486.406	0.405226	-486.812
1	0	15	7	405	14	-269.956	-0.511797	-269.445
1	0	15	8	698	26	-499.741	-1.00818	-498.732
1	0	15	9	1991	22	-464.421	0.58386	-465.005
1	0	15	10	1356	45	-869.326	0.0117886	-869.338
1	0	15	11	3008	22	-494.605	-1.29229	-493.313
1	0	15	12	2109	23	-486.347	-0.954704	-485.392
1	0	15	13	3855	21	-501.32	-0.901031	-500.419
1	0	15	14	4166	9	-289.463	-1.47201	-287.991
1	0	15	15	3265	9	-262.721	0.841324	-263.563
1	0	15	16	1607	9	-213.512	-1.40423	-212.108
1	0	15	17	3010	22	-494.665	0.516132	-495.181
1	0	15	18	2111	23	-486.406	-0.0939656	-486.313
1	0	16	7	405	14	-269.956	0.399915	-270.356
1	0	16	8	698	26	-499.741	-0.495893	-499.245
1	0	16	9	1991	22	-464.421	-0.313994	-464.107
1	0	16	10	1356	45	-869.326	0.020376	-869.346
1	0	16	11	3008	22	-494.605	1.79479	-496.4
1	0	16	12	2109	23	-486.347	-0.873687	-485.473
1	0	16	13	3855	21	-501.32	0.646492	-501.967
1	0	16	14	4166	9	-289.463	0.644466	-290.107
1	0	16	15	3265	9	-262.721	1.02631	-263.748
1	0	16	16	1607	9	-213.512	1.55624	-215.068
1	0	16	17	3010	22	-494.665	1.56979	-496.235
1	0	16	18	2111	23	-486.406	0.729401	-487.136
1	0	17	7	405	14	-269.956	-0.901465	-269.055
1	0	17	8	698	26	-499.741	-0.631643	-499.109
1	0	17	9	1991	22	-464.421	-0.129463	-464.291
1	0	17	10	1356	45	-869.326	-0.587928	-868.738
1	0	17	11	3008	22	-494.605	-0.496779	-494.109
1	0	17	12	2109	23	-486.347	1.35792	-487.705
1	0	17	13	3855	21	-501.32	0.667148	-501.988
1	0	17	14	4166	9	-289.463	0.247679	-289.711
1	0	17	15	3265	9	-262.721	-0.124339	-262.597
1	0	17	16	1607	9	-213.512	-0.300121	-213.212
1	0	17	17	3010	22	-494.665	-0.861958	-493.803
1	0	17	18	2111	23	-486.406	-0.415923	-485.991
1	0	18	7	405	14	-269.956	-0.20543	-269.751
1	0	18	8	698	26	-499.741	0.53056	-500.271
1	0	18	9	1991	22	-464.421	1.12856	-465.549
1	0	18	10	1356	45	-869.326	0.0521071	-869.378
1	0	18	11	3008	22	-494.605	1.11704	-495.722
1	0	18	12	2109	23	-486.347	-0.388476	-485.959
1	0	18	13	3855	21	-501.32	0.367972	-501.688
1	0	18	14	4166	9	-289.463	0.878316	-290.341
1	0	18	15	3265	9	-262.721	1.90488	-264.626
1	0	18	16	1607	9	-213.512	-0.564169	-212.948
1	0	18	17	3010	22	-494.665	1.65021	-496.315
1	0	18	18	2111	23	-486.406	0.0532778	-486.46
1	0	19	7	405	14	-269.956	-0.321889	-269.635
1	0	19	8	698	26	-499.741	0.341622	-500.082
1	0	19	9	1991	22	-464.421	1.95616	-466.377
1	0	19	10	1356	45	-869.326	-2.84939	-866.477
1	0	19	11	3008	22	-494.605	-1.40746	-493.198
1	0	19	12	2109	23	-486.347	1.98986	-488.337
1	0	19	13	3855	21	-501.32	0.802977	-502.123
1	0	19	14	4166	9	-289.463	-1.75817	-287.705
1	0	19	15	3265	9	-262.721	-0.305106	-262.416
1	0	19	16	1607	9	-213.512	-2.51678	-210.995
1	0	19	17	3010	22	-494.665	-2.06666	-492.598
1	0	19	18	2111	23	-486.406	1.34118	-487.748
2	0	0	19	2725	27	-473.94	-2.06721	-471.873
2	0	0	20	1826	28	-463.256	0.623256	-463.879
2	0	0	21	1665	6	-135.239	0.917878	-136.157
2	0	0	22	383	10	-157.848	-1.89164	-155.956
2	0	0	23	590	29	-443.054	0.450437	-443.505
2	0	1	19	2725	27	-473.94	1.43667	-475.377
2	0	1	20	1826	28	-463.256	-0.555177	-462.701
2	0	1	21	1665	6	-135.239	0.395603	-135.634
2	0	1	22	383	10	-157.848	-0.0608091	-157.787
2	0	1	23	590	29	-443.054	-0.1299	-442.925
2	0	2	19	2725	27	-473.94	-1.2627	-472.678
2	0	2	20	1826	28	-463.256	0.891626	-464.147
2	0	2	21	1665	6	-135.239	-2.04107	-133.198
2	0	2	22	383	10	-157.848	0.461292	-158.309
2	0	2	23	590	29	-443.054	-0.739309	-442.315
2	0	3	19	2725	27	-473.94	-0.192838	-473.748
2	0	3	20	1826	28	-463.256	-0.880554	-462.375
2	0	3	21	1665	6	-135.239	0.297584	-135.536
2	0	3	22	383	10	-157.848	-0.822838	-157.025
2	0	3	23	590	29	-443.054	1.31017	-444.365
2	0	4	19	2725	27	-473.94	0.108259	-474.049
2	0	4	20	1826	28	-463.256	0.6848	-463.941
2	0	4	21	1665	6	-135.239	1.54683	-136.786
2	0	4	22	383	10	-157.848	-0.587178	-157.261
2	0	4	23	590	29	-443.054	-1.04695	-442.007
2	0	5	19	2725	27	-473.94	-1.11593	-472.824
2	0	5	20	1826	28	-463.256	0.590176	-463.846
2	0	5	21	1665	6	-135.239	-1.6407	-133.598
2	0	5	22	383	10	-157.848	0.140024	-157.988
2	0	5	23	590	29	-443.054	-0.13231	-442.922
2	0	6	19	2725	27	-473.94	-1.67104	-472.269
2	0	6	20	1826	28	-463.256	0.182586	-463.438
2	0	6	21	1665	6	-135.239	1.76387	-137.003
2	0	6	22	383	10	-157.848	1.29707	-159.145
2	0	6	23	590	29	-443.054	0.356983	-443.411
2	0	7	19	2725	27	-473.94	0.919778	-474.86
2	0	7	20	1826	28	-463.256	0.782809	-464.039
2	0	7	21	1665	6	-135.239	0.393396	-135.632
2	0	7	22	383	10	-157.848	-1.3793	-156.469
2	0	7	23	590	29	-443.054	0.0191713	-443.074
2	0	8	19	2725	27	-473.94	0.506123	-474.447
2	0	8	20	1826	28	-463.256	-0.162144	-463.094
2	0	8	21	1665	6	-135.239	-1.66608	-133.573
2	0	8	22	383	10	-157.848	-1.66658	-156.181
2	0	8	23	590	29	-443.054	0.652077	-443.706
2	0	9	19	2725	27	-473.94	-0.744789	-473.196
2	0	9	20	1826	28	-463.256	-0.532604	-462.723
2	0	9	21	1665	6	-135.239	-0.283369	-134.955
2	0	9	22	383	10	-157.848	-0.808012	-157.04
2	0	9	23	590	29	-443.054	0.625028	-443.679
2	0	10	19	2725	27	-473.94	-0.304833	-473.636
2	0	10	20	1826	28	-463.256	-0.404019	-462.852
2	0	10	21	1665	6	-135.239	-0.441913	-134.797
2	0	10	22	383	10	-157.848	-0.367546	-157.48
2	0	10	23	590	29	-443.054	-0.993635	-442.061
2	0	11	19	2725	27	-473.94	0.12037	-474.061
2	0	11	20	1826	28	-463.256	-0.312585	-462.943
2	0	11	21	1665	6	-135.239	-0.361732	-134.877
2	0	11	22	383	10	-157.848	-1.43679	-156.411
2	0	11	23	590	29	-443.054	0.334464	-443.389
2	0	12	19	2725	27	-473.94	1.33088	-475.271
2	0	12	20	1826	28	-463.256	0.311922	-463.568
2	0	12	21	1665	6	-135.239	-0.161004	-135.078
2	0	12	22	383	10	-157.848	1.86213	-159.71
2	0	12	23	590	29	-443.054	-3.17032	-439.884
2	0	13	19	2725	27	-473.94	-0.83494	-473.105
2	0	13	20	1826	28	-463.256	-0.839743	-462.416
2	0	13	21	1665	6	-135.239	1.11284	-136.352
2	0	13	22	383	10	-157.848	-1.4648	-156.383
2	0	13	23	590	29	-443.054	-0.652589	-442.402
2	0	14	19	2725	27	-473.94	0.505375	-474.446
2	0	14	20	1826	28	-463.256	0.969156	-464.225
2	0	14	21	1665	6	-135.239	0.881994	-136.121
2	0	14	22	383	10	-157.848	0.842691	-158.691
2	0	14	23	590	29	-443.054	-1.50156	-441.553
2	0	15	19	2725	27	-473.94	0.117401	-474.058
2	0	15	20	1826	28	-463.256	-0.24355	-463.012
2	0	15	21	1665	6	-135.239	0.665499	-135.904
2	0	15	22	383	10	-157.848	0.476219	-158.324
2	0	15	23	590	29	-443.054	0.985058	-444.039
2	0	16	19	2725	27	-473.94	0.789413	-474.73
2	0	16	20	1826	28	-463.256	-0.705221	-462.551
2	0	16	21	1665	6	-135.239	0.404174	-135.643
2	0	16	22	383	10	-157.848	0.820963	-158.669
2	0	16	23	590	29	-443.054	0.497501	-443.552
2	0	17	19	2725	27	-473.94	-0.0241225	-473.916
2	0	17	20	1826	28	-463.256	0.572187	-463.828
2	0	17	21	1665	6	-135.239	1.35986	-136.599
2	0	17	22	383	10	-157.848	-1.69951	-156.148
2	0	17	23	590	29	-443.054	-1.42395	-441.63
2	0	18	19	2725	27	-473.94	2.60851	-476.549
2	0	18	20	1826	28	-463.256	-2.52328	-460.733
2	0	18	21	1665	6	-135.239	0.0762864	-135.315
2	0	18	22	383	10	-157.848	-1.14186	-156.706
2	0	18	23	590	29	-443.054	1.02272	-444.077
2	0	19	19	2725	27	-473.94	0.338539	-474.279
2	0	19	20	1826	28	-463.256	-0.478282	-462.778
2	0	19	21	1665	6	-135.239	-1.06881	-134.17
2	0	19	22	383	10	-157.848	-0.899787	-156.948
2	0	19	23	590	29	-443.054	0.520404	-443.575
3	0	0	24	4912	9	-271.044	-1.23904	-269.805
3	0	0	25	2511	7	-173.833	-1.588	-172.245
3	0	0	26	772	20	-315.865	-1.89666	-313.969
3	0	0	27	3627	14	-308.271	1.03727	-309.309
3	0	0	28	4532	16	-363.235	1.72019	-364.955
3	0	0	29	1974	24	-408.623	-0.230783	-408.392
3	0	1	24	4912	9	-271.044	-0.625884	-270.418
3	0	1	25	2511	7	-173.833	0.295571	-174.129
3	0	1	26	772	20	-315.865	0.390514	-316.256
3	0	1	27	3627	14	-308.271	1.88966	-310.161
3	0	1	28	4532	16	-363.235	-0.118696	-363.116
3	0	1	29	1974	24	-408.623	-1.67118	-406.951
3	0	2	24	4912	9	-271.044	0.919252	-271.963
