c	n	which network, [0]:sea; [1]:air; [2]:dummy; [3]:exist_sea; [4]:exist_air;				
a	1341	1354	0	10	1	
a	1342	1360	0	2	1	
a	1344	1362	0	3	1	
a	1348	1366	0	0	1	
a	1349	1367	0	0	1	
a	1351	1369	0	0	1	
a	1354	1372	0	0	0	
a	1355	1373	0	0	0	
a	1359	1372	0	10	1	
a	1359	1373	0	10	1	
a	1360	534	25	0	0	
a	1362	1380	0	3	1	
a	1366	1384	0	0	1	
a	1367	1385	0	0	1	
a	1369	1380	0	10	1	
a	1372	1390	0	0	0	
a	1373	1391	0	0	0	
a	1377	1390	0	10	1	
a	1377	1391	0	10	1	
a	1380	1398	0	3	1	
a	1384	1399	0	10	1	
a	1385	1401	0	10	1	
a	1390	1408	0	0	0	
a	1391	1409	0	0	0	
a	1398	1416	0	3	1	
a	1399	129	20	0	1	
a	1399	1417	0	3	1	
a	1401	1419	0	3	1	
a	1408	1426	0	0	0	
a	1416	2862	20	0	1	
a	1417	1435	0	3	1	
a	1417	1444	0	10	1	
a	1417	1445	0	10	1	
a	1417	1449	0	3	1	
a	1419	1437	0	3	1	
a	1426	1444	0	0	0	
a	1435	1453	0	3	1	
a	1437	1455	0	3	1	
a	1444	1462	0	0	0	
a	1445	1463	0	0	0	
a	1449	1467	0	2	1	
a	1453	1471	0	3	1	
a	1455	1473	0	3	1	
a	1462	1480	0	0	0	
a	1463	1481	0	0	0	
a	1467	557	25	0	0	
a	1467	1485	0	2	1	
a	1471	1489	0	3	1	
a	1473	1491	0	3	1	
a	1480	1498	0	0	0	
a	1481	1499	0	0	0	
a	1485	561	25	0	0	
a	1488	1519	0	10	1	
a	1489	1507	0	3	1	
a	1491	1509	0	3	1	
a	1498	1516	0	0	0	
a	1499	1517	0	0	0	
a	1505	1518	0	10	1	
a	1507	1525	0	3	1	
a	1509	1527	0	3	1	
a	1516	1534	0	0	0	
a	1517	1535	0	0	0	
a	1518	1536	0	0	0	
a	1519	1537	0	0	0	
a	1525	157	20	0	1	
a	1527	1545	0	3	1	
a	1534	1552	0	0	0	
a	1535	1553	0	0	0	
a	1536	1554	0	0	0	
a	1537	1555	0	0	0	
a	1541	1554	0	10	1	
a	1545	1563	0	3	1	
a	1552	1570	0	0	0	
a	1553	1571	0	0	0	
a	1554	1572	0	0	0	
a	1555	1573	0	0	0	
a	1563	1581	0	3	1	
a	1570	1588	0	0	0	
a	1571	1589	0	0	0	
a	1572	1590	0	0	0	
a	1573	1591	0	0	0	
a	1581	171	20	0	1	
a	1588	1606	0	0	0	
a	1589	1607	0	0	0	
a	1590	1608	0	0	0	
a	1591	1609	0	0	0	
a	1599	1626	0	10	1	
a	1606	1624	0	0	0	
a	1607	1625	0	0	0	
a	1608	1626	0	0	0	
a	1609	1627	0	0	0	
a	1624	1642	0	0	0	
a	1625	1643	0	0	0	
a	1626	1644	0	0	0	
a	1627	1645	0	0	0	
a	1634	1666	0	3	1	
a	1642	1660	0	0	0	
a	1643	1661	0	0	0	
a	1644	1662	0	0	0	
a	1645	1663	0	0	0	
a	1660	1678	0	0	0	
a	1661	1679	0	0	0	
a	1662	1680	0	0	0	
a	1663	1681	0	0	0	
a	1666	3332	25	0	0	
a	1670	1695	0	10	1	
a	1670	1702	0	3	1	
a	1678	1696	0	0	0	
a	1679	1697	0	0	0	
a	1680	1698	0	0	0	
a	1685	1698	0	10	1	
a	1695	1713	0	0	0	
a	1696	1714	0	0	0	
a	1697	1715	0	0	0	
a	1702	610	25	0	0	
a	1702	1720	0	2	1	
a	1714	1732	0	0	0	
a	1715	1733	0	0	0	
a	1720	1738	0	2	1	
a	1732	1750	0	0	0	
a	1733	1751	0	0	0	
a	1737	1750	0	10	1	
a	1738	618	25	0	0	
a	1750	1768	0	0	0	
a	1751	1769	0	0	0	
a	1755	1768	0	10	1	
a	1759	1786	0	10	1	
a	1759	1787	0	10	1	
a	1768	1786	0	0	0	
a	1769	1787	0	0	0	
a	1786	1804	0	0	0	
a	1804	1822	0	0	0	
a	1822	1840	0	0	0	
a	1840	1858	0	0	0	
a	1858	1876	0	0	0	
a	1876	1894	0	0	0	
a	1894	1912	0	0	0	
a	1912	1930	0	0	0	
a	1930	1948	0	0	0	
a	1948	1966	0	0	0	
a	1966	1984	0	0	0	
a	1984	2002	0	0	0	
a	2002	2020	0	0	0	
a	2020	2038	0	0	0	
a	2038	2056	0	0	0	
a	2056	2074	0	0	0	
a	2074	2092	0	0	0	
a	2092	2110	0	0	0	
a	2110	2128	0	0	0	
a	2128	2146	0	0	0	
a	2146	2164	0	0	0	
a	2820	1256	20	0	1	
a	2904	1634	20	0	1	
a	2931	1759	20	0	1	
a	3178	980	25	0	0	
a	3211	1125	25	0	0	
a	3220	1162	25	0	0	
a	3259	1341	25	0	0	
a	3337	1685	25	0	0	
t	397					
